id,screen_name,avg_tweets_per_day,posting_rate_consistency,high_volume_flag,bio_length,bio_word_count,bio_lexical_diversity,bio_has_url,bio_hashtag_count,bio_mention_count,bio_exclaim_ratio,bio_sentiment_score,has_description,followers_count,friends_count,follower_friend_ratio,favourites_count,favourites_per_day,account_age_days,verified,default_profile,default_profile_image,geo_enabled,has_location,has_lang,label
491258363,MohanShakti,2.223,9.874557735578549e-05,0,54,3,0.8,0,0,2,0.0,0,1,680345,183,3717.7322404371585,8888,2.8587970408491477,3109,1,0,0,1,1,1,0
4112253434,BeeneSamuel,2.083,0.0004285714285714448,0,17,4,1.0,0,0,0,0.0,0,1,25,45,0.5555555555555556,3544,2.0251428571428574,1750,0,1,0,0,0,1,1
872826012794585089,SSDGM666,0.13,0.0002485004284490111,0,27,5,0.8,0,0,0,0.0,0,1,26,131,0.1984732824427481,160,0.13710368466152528,1167,0,1,0,0,1,1,0
876795381841100801,Odiotuttigioia,5.952,0.00044290657439471914,0,160,31,0.7419354838709677,0,0,0,0.0,0,1,407,186,2.1881720430107525,17028,14.730103806228374,1156,0,0,0,0,0,1,1
287834630,GNev2,4.165,0.00014545988833347678,0,14,3,1.0,0,0,0,0.0,0,1,4201705,885,4747.689265536723,7338,2.156332647663826,3403,1,1,0,0,0,1,0
62915097,Teresav4,13.078,0.0003730158730164135,0,124,18,0.7777777777777778,0,0,0,0.0,0,1,446,807,0.5526641883519207,58490,14.506448412698413,4032,0,1,0,1,0,1,0
261620277,kattyatamayo,2.324,0.0002617255356112125,0,65,9,1.0,0,0,0,0.0,0,1,113181,297,381.0808080808081,231,0.06687898089171974,3454,0,1,0,1,1,1,0
15729207,wunc,6.501,0.0002508528542186639,0,34,6,1.0,0,0,0,0.0,0,1,33334,385,86.58181818181818,1476,0.3356834205139868,4397,1,0,0,0,1,1,0
114557496,urgantcom,0.279,0.0001363044044827011,0,29,4,1.0,0,0,0,0.0,0,1,4577055,1,4577055.0,2,0.0005212405525149857,3837,1,0,0,0,1,1,0
19923515,abc_es,103.295,0.0001364175563480785,1,120,8,0.55,1,0,0,0.0,0,1,2015401,14905,135.21643743710163,1115,0.26453143534994067,4215,1,0,0,0,1,1,1
50856512,zZBurntToastZz,1.338,0.0003280943025540939,0,62,12,1.0,0,0,0,0.0,0,1,223,624,0.3573717948717949,2747,0.6746070726915521,4072,0,1,0,0,1,1,1
1377305161,Donny_BIGGS,40.064,2.6936026934265556e-05,1,10,2,1.0,0,0,0,0.0,0,1,492,856,0.5747663551401869,114220,42.73101384212495,2673,0,1,0,1,1,1,0
586,sacca,14.649,0.00019394292370300548,0,158,26,1.0,0,0,2,0.0,1,1,1662199,924,1798.9166666666667,344286,66.83867210250436,5151,1,0,0,1,1,1,0
30147163,jef2195,0.134,0.0002492166787177452,0,0,0,0.0,0,0,0,0.0,0,0,3,0,0.0,343,0.0826705230175946,4149,0,1,0,0,1,0,1
483656289,anlyzambrano,2.746,0.0003117382937780633,0,0,0,0.0,0,0,0,0.0,0,0,168610,85,1983.6470588235295,148,0.04746632456703015,3118,0,0,0,1,0,0,0
848036460,paulnutwalnut,1.43,0.00045438779049611355,0,122,20,0.9545454545454546,0,0,0,0.0,0,1,152,659,0.2306525037936267,8536,2.9608047173083594,2883,0,0,0,0,1,1,0
336069232,shwuyiNg_,0.077,6.201083684527486e-05,0,21,5,1.0,0,0,0,0.0,0,1,56,0,0.0,11,0.0033112582781456954,3322,0,0,0,1,1,1,0
